Title,Personal well-being estimates by local authority,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Geography,Geography code,MeasureOfWellbeing,Estimate,2016-17,Data Marking (2016-17),Lower limit (2016-17),Upper limit (2016-17),2017-18,Data Marking (2017-18),Lower limit (2017-18),Upper limit (2017-18),2018-19,Data Marking (2018-19),Lower limit (2018-19),Upper limit (2018-19),2019-20,Data Marking (2019-20),Lower limit (2019-20),Upper limit (2019-20),2020-21,Data Marking (2020-21),Lower limit (2020-21),Upper limit (2020-21)
England,E92000001,Anxiety,Average (mean),2.91,,2.89,2.93,2.9,,2.88,2.92,2.87,,2.84,2.89,3.05,,3.02,3.07,3.31,,3.28,3.34
England,E92000001,Happiness,Average (mean),7.51,,7.49,7.52,7.52,,7.5,7.53,7.56,,7.55,7.58,7.48,,7.46,7.49,7.31,,7.29,7.33
England,E92000001,Life Satisfaction,Average (mean),7.68,,7.66,7.69,7.68,,7.67,7.69,7.71,,7.7,7.72,7.66,,7.64,7.67,7.38,,7.37,7.4
England,E92000001,Worthwhile,Average (mean),7.86,,7.85,7.87,7.88,,7.86,7.89,7.88,,7.87,7.9,7.86,,7.84,7.87,7.71,,7.69,7.72
Northern Ireland,N92000002,Anxiety,Average (mean),2.64,,2.52,2.76,2.53,,2.42,2.64,2.83,,2.72,2.94,3,,2.9,3.1,3.1,,2.98,3.23
Northern Ireland,N92000002,Happiness,Average (mean),7.67,,7.58,7.76,7.8,,7.71,7.89,7.69,,7.61,7.76,7.68,,7.6,7.75,7.49,,7.4,7.58
Northern Ireland,N92000002,Life Satisfaction,Average (mean),7.88,,7.81,7.96,7.92,,7.85,7.99,7.89,,7.83,7.96,7.86,,7.8,7.92,7.54,,7.46,7.62
Northern Ireland,N92000002,Worthwhile,Average (mean),8.08,,8.01,8.15,8.08,,8.01,8.15,8.07,,8,8.13,8.05,,8,8.11,7.9,,7.83,7.97
Scotland,S92000003,Anxiety,Average (mean),2.89,,2.83,2.95,2.89,,2.83,2.95,2.83,,2.77,2.88,3.12,,3.06,3.18,3.31,,3.23,3.38
Scotland,S92000003,Happiness,Average (mean),7.45,,7.4,7.49,7.5,,7.46,7.55,7.52,,7.48,7.56,7.43,,7.39,7.47,7.27,,7.22,7.33
Scotland,S92000003,Life Satisfaction,Average (mean),7.68,,7.64,7.71,7.71,,7.67,7.74,7.69,,7.66,7.73,7.68,,7.64,7.71,7.38,,7.33,7.42
Scotland,S92000003,Worthwhile,Average (mean),7.81,,7.77,7.84,7.88,,7.84,7.91,7.86,,7.83,7.9,7.86,,7.82,7.89,7.68,,7.63,7.72
United Kingdom,K02000001,Anxiety,Average (mean),2.9,,2.88,2.92,2.89,,2.87,2.91,2.87,,2.84,2.89,3.05,,3.03,3.08,3.31,,3.28,3.33
United Kingdom,K02000001,Happiness,Average (mean),7.51,,7.49,7.52,7.52,,7.51,7.54,7.56,,7.55,7.58,7.48,,7.46,7.49,7.31,,7.3,7.33
United Kingdom,K02000001,Life Satisfaction,Average (mean),7.68,,7.67,7.69,7.69,,7.68,7.7,7.71,,7.7,7.73,7.66,,7.65,7.68,7.39,,7.37,7.4
United Kingdom,K02000001,Worthwhile,Average (mean),7.86,,7.85,7.87,7.88,,7.87,7.9,7.89,,7.87,7.9,7.86,,7.85,7.88,7.71,,7.69,7.72
Wales,W92000004,Anxiety,Average (mean),2.96,,2.9,3.02,2.94,,2.88,3,2.93,,2.87,2.99,3.09,,3.03,3.15,3.42,,3.33,3.5
Wales,W92000004,Happiness,Average (mean),7.48,,7.43,7.52,7.48,,7.43,7.52,7.53,,7.48,7.57,7.44,,7.4,7.49,7.3,,7.24,7.36
Wales,W92000004,Life Satisfaction,Average (mean),7.65,,7.61,7.69,7.69,,7.65,7.73,7.68,,7.65,7.72,7.66,,7.62,7.69,7.38,,7.32,7.43
Wales,W92000004,Worthwhile,Average (mean),7.83,,7.79,7.87,7.88,,7.85,7.92,7.88,,7.85,7.92,7.86,,7.83,7.9,7.69,,7.63,7.74
